Squats, Quadriceps, Squat, 20, 2
Bench Press, Chest, Push, 15, 2
Pull-ups, Lats, Vertical Pull, 8, 3
Lat Pulldown, Lats, Vertical Pull, 10, 2
Deadlift, Lower Back, Hip Hinge, 20, 2
Dips, Triceps/Chest, Vertical Push, 10, 3
Bicep Curl, Biceps, Elbow Flexion, 8, 2
Military Press, Shoulders, Push, 15, 3
Hip Thrust, Glutes, Hyperextension, 17, 3
Bulgarian Split Squat, Quadriceps, Squat, 11, 2
Leg Press, Quadriceps, Squat, 20, 2
Romanian Deadlift, Lower Back, Hip Hinge, 20, 3
Lateral Raises, Shoulders, Push, 8, 3
Hamstring Curl, Hamstrings, Knee Flexion, 12, 3
Triceps Extension, Triceps, Elbow Extension, 10, 3
French Press, Triceps, Elbow Extension, 8, 3
Flyes, Chest, Shoulder Adduction, 15, 3
Incline Press, Chest, Push, 17, 3
Hammer Curl, Biceps (Brachialis), Elbow Flexion, 8, 3
Cable Row, Back, Horizontal Pull, 10, 2
Barbell Row, Back, Horizontal Pull, 17, 3
Dumbbell Row, Lats, Horizontal Pull, 9, 2
Back Extensions, Lower Back, Hip Hinge, 8, 2
Quad Extension, Quadriceps, Knee Extension, 10, 2
Hip Adductor Machine, Adductors, Hip Adduction, 6, 2
Calf Press, Calves, Ankle Flexion, 7, 3


